logFC	AveExpr	t	P.Value	adj.P.Val	B	gene	DEG_flag
-5.13268696203776	7.8592675251834	-9.95864357502268	1.09228808810323e-11	8.40152285920796e-09	16.5853336798062	STK31	TRUE
5.39296691308361	8.67468098111113	9.94891683008527	1.12023235431528e-11	8.40152285920796e-09	16.5611408124119	SSPN-AS1	TRUE
5.23713041760334	11.3269302952389	9.94187286992226	1.14092326348411e-11	8.40152285920796e-09	16.5436122537784	SOX17	TRUE
-6.89556052296811	8.31000401746435	-9.90883490391544	1.24329363566672e-11	8.60564462356416e-09	16.461304102841	BNC1	TRUE
-3.15398109036398	10.5067105674055	-9.90700227849692	1.24923897602664e-11	8.60564462356416e-09	16.456733874234	MTUS1	TRUE
4.87180058599412	11.9904584301713	9.87734578922722	1.34958186624486e-11	8.87832679595806e-09	16.3827092801846	MUC1	TRUE
3.36685367273651	9.048511503453	9.87103525974397	1.37197276640888e-11	8.87832679595806e-09	16.3669415404006	NEK2	TRUE
-4.31674908168967	7.17112883102529	-9.82172808941262	1.56048823284493e-11	9.80124300364809e-09	16.2435446059983	SLC4A4	TRUE
4.90190448021599	9.75398302981824	9.79995087480463	1.65196230440641e-11	1.0022900013465e-08	16.1889339405615	SLC4A11	TRUE
3.23497861543758	9.01444015817795	9.79133426737226	1.6896483281889e-11	1.0022900013465e-08	16.1673073827762	ESPL1	TRUE
-3.13167640517218	10.7096312044417	-9.75400481992708	1.86330845193996e-11	1.0754311348967e-08	16.0734928362021	DAB2	TRUE
-5.89297016284768	8.28550302261295	-9.65946433671461	2.38915817106872e-11	1.31543804591488e-08	15.8350084379843	LHX9	TRUE
3.74677270654486	8.98656438752668	9.65737597353587	2.40234529574715e-11	1.31543804591488e-08	15.8297260165565	KIF4A	TRUE
-2.85225828241084	11.2772931216671	-9.62968123088266	2.58440586481884e-11	1.37974968108016e-08	15.7596146231128	CLIP4	TRUE
-3.41007273014382	6.87489587925758	-9.59510393670112	2.83159606133179e-11	1.47484716804245e-08	15.6719261504893	DLG2	TRUE
-4.78727262219901	8.37332338666429	-9.57273475746421	3.00421924041354e-11	1.52750242569122e-08	15.6151069461014	LGALS2	TRUE
-3.98215707766876	10.4563176386879	-9.55883072580847	3.11688298363643e-11	1.52838217414722e-08	15.5797539021608	SEMA3C	TRUE
-2.62443084119319	11.1205926594024	-9.55495001059601	3.14908993970863e-11	1.52838217414722e-08	15.5698817053298	LIPA	TRUE
2.73931962627028	9.47882140609746	9.51878900918026	3.46599159176101e-11	1.64480556537903e-08	15.4777883923324	LRP8	TRUE
3.4281327500851	8.34829882887387	9.50914592014774	3.55586160321888e-11	1.64563106071117e-08	15.453198399448	TPX2	TRUE
3.43628738223362	11.9507149074683	9.50222183038639	3.6218524866975e-11	1.64563106071117e-08	15.4355337416035	ZWINT	TRUE
-4.81115560368155	9.7432698349609	-9.44670252429048	4.19819092931141e-11	1.86775765198844e-08	15.2936475287977	ARHGAP18	TRUE
3.2152521588986	10.9963695976038	9.40386752328538	4.70609761751022e-11	2.05099417595777e-08	15.1838789579468	RRM2	TRUE
